titles,authors,dates,abstracts,urls,keys,texts
Cloud Computing,nan,nan,"C loud computing has generated significant interest in both academia and industry, but it’s still an evolving paradigm. Essentially, it aims to consolidate the economic utility model with the evolutionary development of many existing approaches and computing technologies, including distributed services, applications, and in-formation infrastructures consisting of pools of com-puters, networks, and storage resources. Confusion exists in IT communities about how a cloud differs from existing models and how these differences af-fect its adoption. Some see a cloud as a novel technical revolution, while others consider it a natural evolution of technology, economy, and culture.1 Nevertheless, cloud computing is an important paradigm, with the potential to significantly reduce costs through optimization and increased operat-ing and economic efficiencies.1,2 Furthermore, cloud computing could significantly enhance collaboration, agility, and scale, thus enabling a truly global comput-ing model over the Internet infrastructure. However, without appropriate security and privacy solutions designed for clouds, this potentially revolutionizing computing paradigm could become a huge failure. Several surveys of potential cloud adopters indicate that security and privacy is the primary concern hin-dering its adoption.3 This article illustrates the unique issues of cloud computing that exacerbate security and privacy chal-lenges in clouds.4 We also discuss various approaches to address these challenges and explore the future work needed to provide a trustworthy cloud comput-ing environment.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.683.8768&rep=rep1&type=pdf,"['cloud computing', 'future work', 'in-formation infrastructure', 'cloud differs', 'economic utility model', 'huge failure', 'primary concern', 'loud computing', 'novel technical revolution', 'several survey', 'appropriate security', 'economic efficiency', 'trustworthy cloud comput-ing environment', 'truly global comput-ing model', 'privacy solution', 'various approach', 'privacy chal-lenges', 'evolutionary development', 'natural evolution', 'exacerbate security', 'potential cloud adopter', 'internet infrastructure', 'significant interest', 'unique issue', 'storage resource', 'important paradigm']",
Uncloud the Cloud of Cloud Computing,"Sarojadevi K, Jeevitha R",nan,Abstract- Cloud Computing has become a scalable service consumption and delivery platform in the modern IT infrastructure. Cloud Computing is a style of computing which must cater to the following computing needs:,https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.303.1334&rep=rep1&type=pdf,"['cloud computing', 'scalable service consumption', 'abstract cloud computing', 'modern infrastructure', 'delivery platform', 'computing need']",
Cloud Computing,Pourya Shamsolmoali,nan,"Abstract—Distributed Denial of Service (DDOS) attacks have become one of the main threats in cloud environment. A DDOS attack can make large scale of damages to resources and access of the resources to genuine cloud users. Old-established defending system cannot be easily applied in cloud computing due to their relatively low competence and wide storage. In this paper we offered a data mining and neural network technique, trained to detect and filter DDOS attacks. For the simulation experiments we used KDD Cup dataset and our lab datasets. Our proposed model requires small storage and ability of fast detection. The obtained results indicate that our model has the ability to detect and filter most type of TCP attacks. Detection accuracy was the metric used to evaluate the performance of our proposed model. From the simulation results, it is visible that our algorithms achieve high detection accuracy (97%) with fewer false alarms.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.959.8245&rep=rep1&type=pdf,[],
Towards Trusted Cloud Computing,"Nuno Santos, Krishna P. Gummadi, Rodrigo Rodrigues",2009,"Cloud computing infrastructures enable companies to cut costs by outsourcing computations on-demand. However, clients of cloud computing services currently have no means of verifying the confidentiality and integrity of their data and computation. To address this problem we propose the design of a trusted cloud computing platform (TCCP). TCCP enables Infrastructure as a Service (IaaS) providers such as Amazon EC2 to provide a closed box execution environment that guarantees confidential execution of guest virtual machines. Moreover, it allows users to attest to the IaaS provider and determine whether or not the service is secure before they launch their virtual machines.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.149.2162&rep=rep1&type=pdf,"['cloud computing', 'virtual machine', 'guest virtual machine', 'infrastructure enable company', 'amazon ec2', 'confidential execution', 'closed box execution environment', 'trusted cloud', 'iaa provider']",
Cloud Computing: Cloud Computing Failures,"Adamu Usman, Peter Ogedebe",nan,"Organizations and businesses are constantly in search of ways to improve competitive advantage, reduce the cost of operation to increase profit margins and in all cases improve operations efficiency and effectiveness. Computer automation and Information Technology (IT) have proven to enhance business operations by expedient delivery of service and enhancing the ability to communicate over large geographical areas in real time. As the cost of obtaining up to date efficient IT systems continue to rise, Cloud Computing has been taunted as a means of reducing these costs and providing an equally or in some cases a better computerized platform for business functionality. This paper looks at the issues associated with cloud service failures, the consequences of such failures and provides a forum for discussing, sharing, reviewing and collaboration among peers, business owners and service providers. Despite the hype of a more efficient and effective system (Paas, Iaas, SaaS), cloud computing isn’t without failures and the consequences of those failures to subscribers. A line of thought and implementation of such a scheme for organizations needs to be fully understood and established.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.677.7761&rep=rep1&type=pdf,"['cloud computing', 'cloud computing failure', 'service provider', 'business operation', 'cloud service failure', 'organization need', 'real time', 'large geographical area', 'date efficient system', 'effective system', 'computerized platform', 'business owner', 'expedient delivery', 'competitive advantage', 'operation efficiency', 'computer automation', 'business functionality', 'information technology', 'profit margin']",
CLOUD COMPUTING IN EDUCATION,2010,nan,Context and outline of the problem Types of cloud computing The difference between cloud computing and Web 2.0 How is cloud computing being applied in education?,https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.352.6525&rep=rep1&type=pdf,"['cloud computing education', 'cloud computing', 'problem type']",
Study on cloud computing,"Wei Li, Dongxin Lu",nan,"Abstract. This paper summarizes some issues occurred in the development of cloud computing. First we introduce the background of cloud computing and the difference between cloud computing and others. Then we talk about the architecture and the characteristics of cloud computing. In the end of this paper, we discuss some issues in cloud computing.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.1026.7245&rep=rep1&type=pdf,[],
The characteristics of Cloud computing,"Chunye Gong, Jie Liu, Qiang Zhang, Haitao Chen, Zhenghu Gong",2010,"Abstract—Cloud computing emerges as one of the hottest topic in field of information technology. Cloud computing is based on several other computing research areas such as HPC, virtualization, utility computing and grid computing. In order to make clear the essential of cloud computing, we propose the characteristics of this area which make cloud computing being cloud computing and distinguish it from other research areas. The cloud computing has its own conceptional, technical, economic and user experience characteristics. The service oriented, loose coupling, strong fault tolerant, business model and ease use are main characteristics of cloud computing. Clear insights into cloud computing will help the development and adoption of this evolving technology both for academe and industry. Keywords- cloud computing; serviec oriented; loose coupling; strong fault tolerant; business pattern; ease use I.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.472.9363&rep=rep1&type=pdf,"['cloud computing', 'research area', 'loose coupling', 'strong fault tolerant', 'abstract cloud', 'business pattern', 'business model', 'keywords cloud computing', 'grid computing', 'clear insight', 'user experience characteristic', 'utility computing', 'ease use', 'information technology', 'main characteristic']",
Taxonomy of cloud computing services,"C. N. Hoefer, G. Karagiannis",2010,"Abstract—Cloud computing is a highly discussed topic, and many big players of the software industry are entering the development of cloud services. Several companies want to explore the possibilities and benefits of cloud computing, but with the amount of cloud computing services increasing quickly, the need for a taxonomy framework rises. This paper describes the available cloud computing services, and proposes a tree-structured taxonomy based on their characteristics, to easily classify cloud computing services making it easier to compare them. Index Terms—Characteristics, cloud computing, taxonomy I.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.462.4435&rep=rep1&type=pdf,"['cloud computing service', 'cloud computing', 'cloud service', 'available cloud computing service', 'several company', 'many big player', 'abstract cloud computing', 'tree-structured taxonomy', 'discussed topic', 'index term characteristic', 'software industry', 'taxonomy framework rise']",
Cloud Computing,"Souvik Pal, Prasant Kumar Pattnaik",nan,th,https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.972.5466&rep=rep1&type=pdf,[],
Cloud Computing,"Daniele Catteddu, Giles Hogben, Alessandro Perilli, Andrea Manieri, Avner Algom, John Rhoton, Mirco Rohr, Ofer Biran, Raj Samani",nan,"Benefits, risks and recommendations for information securityABOUT ENISA",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.178.1323&rep=rep1&type=pdf,[],
Cloud Computing,"Alessandro Perilli, Andrea Manieri, Avner Algom, John Rhoton, Mirco Rohr, Ofer Biran, Pete Lindstrom, Srijith K. Nair, Theo Dimitrakos",nan,"Benefits, risks and recommendations for information securityABOUT ENISA",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.184.9378&rep=rep1&type=pdf,"['cloud computing', 'information securityabout enisa']",
SECURITY ISSUES IN CLOUD COMPUTING,"Rejoice Paul, Mansi Talreja, Aman Sahu, K. John Singh",nan,"Abstract-Cloud Computing is a way through which data are stored on networked resources, enabling the data to be accessed from any corner of the world. Cloud Computing is an emerging platform for sharing resources like infrastructure, software and various applications. Cloud computing infrastructure consists of reliable services delivered through data centers and built on servers. Now, Cloud computing can be seen a lot on the internet. Apple and google are one of the top IT companies that use cloud computing. Companies are now realising that by using cloud computing they can gain access to best business applications and boost their business resources at less cost. But As more and more data is being stored on the cloud, concerns are starting to grow about security issues in cloud computing. In this paper, the various security risks of Cloud Computing are analyzed and presented. Keywords-Cloud Computing, Security risks, privacy I.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.637.939&rep=rep1&type=pdf,"['cloud computing', 'security issue cloud computing', 'top company', 'security issue', 'business application', 'various security risk', 'security risk', 'data center', 'keywords-cloud computing', 'business resource', 'networked resource', 'reliable service', 'various application', 'abstract-cloud computing']",
Cloud Computing,"Jayadivya S K, Jaya Nirmala S, Mary Saira Bhanu S",nan,tolerant workflow scheduling based,https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.641.3172&rep=rep1&type=pdf,"['cloud computing', 'tolerant workflow scheduling']",
REMINISCING CLOUD COMPUTING TECHNOLOGY,"Brijesh Goyal, Pallavi Jain",nan,Beauty of Cloud Computing is its Simplicity. A lot of visions exist for Cloud computing terminology. Here is a re-collection of facts about cloud computing. Basic approach for understanding CC technology Interview of cloud technology as well as proposal for further empirical work in modeling cloud computing technologies,https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.671.5633&rep=rep1&type=pdf,"['reminiscing cloud computing technology', 'cloud computing', 'cloud technology', 'basic approach', 'empirical work', 'cc technology interview']",
CLOUD COMPUTING CONCERNS IN DEVELOPING ECONOMIES,"Mathias Mujinga, Baldreck Chipangura, Mathias Mujinga, Baldreck Chipangura",nan,Cloud computing concerns in developing economies,https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.258.5298&rep=rep1&type=pdf,['cloud computing concern developing economy'],
Cloud Computing and . . . ,John Doe,2009,,https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.214.430&rep=rep1&type=pdf,['cloud computing'],
Challenges of Cloud Computing Evaluation,"Peng Shia, Lixin Zhangb, Yibo Aic",nan,"Abstract. Cloud computing is one of the hottest topics of IT research and industry because of its easy usage and flexible payment. At present, many researchers and projects focus on improving the efficiency and performance of cloud computing. Few researchers have recognized the importance the evaluation of cloud computing and started to investigate the evaluation methods. This paper first surveys research papers and technology reports about cloud computing evaluation. Then the characteristics and influential factors of cloud computing are analyzed. Some important unsolved issues of cloud computing evaluation are proposed. Finally, this paper gives some advice and points out future open problems of evaluation.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.849.4311&rep=rep1&type=pdf,[],
Data location compliance in cloud computing,"J. Noltes, Johan Noltes",2011,Data location compliance in cloud computing,https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.465.1&rep=rep1&type=pdf,"['cloud computing', 'data location compliance']",
Security Analysis of Cloud Computing,Shital P. Adkine,nan,"Abstract- Cloud computing play an important role in IT industry. Cloud computing reshaping the IT industry and in software development process. Cloud computing techniques can offer many facilities like sharing of hardware, availability of software and many more resources as a basic need. Cloud computing effectively reduces the cost, maintenance. As same security is important issue. The security issues also one of the major issues in cloud computing because over data located on the centralized location due to this reliability and avaibility of data not achieve. While dealing with cloud computing loss of control over cloud component is one of the major issues in maintenance. This paper focuses a different issues of risk involved in cloud computing. Also primarily aims to highlight the major security issues existing in current cloud computing environments.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.458.6678&rep=rep1&type=pdf,"['cloud computing', 'security analysis', 'major issue', 'important role', 'abstract cloud', 'security issue', 'current cloud computing environment', 'different issue', 'important issue', 'centralized location', 'software development process', 'major security issue', 'many facility', 'basic need', 'cloud component']",
Basics About Cloud Computing,Grace Lewis,2010,"What is cloud computing and how can an organization decide whether to adopt it? Cloud computing is a distributed computing paradigm that focuses on providing a wide range of users with distributed access to scalable, virtualized hardware and/or software infrastructure over the internet. Despite this rather technical definition, cloud computing is in essence an economic model for a different way to acquire and manage IT resources. An organization needs to weigh the cost, benefits, and risks of cloud computing in determining whether to adopt it as an IT strategy. This paper seeks to help organizations understand cloud computing essentials, including drivers for and barriers to adoption, in support of making decisions about adopting the approach. Cloud computing is a paradigm for large-scale distributed computing that makes use of existing technologies such as virtualization, service-orientation, and grid computing. It offers a different way to acquire and manage IT resources on a large scale. A simple example of cloud computing is webmail. The webmail provider",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.208.657&rep=rep1&type=pdf,"['cloud computing', 'different way', 'organization decide', 'technical definition', 'software infrastructure', 'large scale', 'distributed access', 'grid computing', 'distributed computing paradigm', 'wide range', 'economic model', 'webmail provider', 'large-scale distributed computing', 'simple example']",
Security Dynamics of Cloud Computing,Khaled M. Khan,"CUTTER IT JOURNAL, June/July","This paper explores various dimensions of cloud computing security. It argues that security concerns of cloud computing need to be addressed from the perspective of individual stakeholder. Security focuses of cloud computing are essentially dif-ferent in terms of its characteristics and business model. Conventional way of viewing as well as addressing security such as ‘bolting-in ’ on the top of cloud computing may not work well. The paper attempts to portray the security spectrum necessary for enterprizes to understand the dynamics of cloud computing security, the relationships between security requirements of different stakeholders at different levels of abstraction, and the challenges it poses. The paper is expected to shed some lights on concerns as well as dynamics of cloud computing security. 1",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.517.5101&rep=rep1&type=pdf,"['security dynamic', 'cloud computing', 'security requirement', 'conventional way', 'business model', 'security concern', 'security spectrum', 'different stakeholder', 'various dimension', 'different level', 'individual stakeholder']",
OPEN SOURCE IN CLOUD COMPUTING,nan,nan,Cloud computing is emerging as the latest BUZZ word in Information Technology. There is going to be a great shift from traditional network computing to cloud computing. The features of Cloud computing-Pay as you go and Virtualization has made it a long run in advance technologies. This paper is a brief survey based of readings on “cloud computing ” and the role of open source in cloud computing. The paper will also review about the flexible bandwidth of the cloud applications and its tools. The point of discussion in Information Technology sector is that the mainstream adoption of cloud computing creates hindrance for many user. This paper will contradict this theory and let us know how cloud computing is going to change the scenario of network computing and the way open source shapes the cloud computing. 2.,https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.589.3175&rep=rep1&type=pdf,"['cloud computing', 'open source cloud computing', 'flexible bandwidth', 'cloud computing-pay', 'open source', 'brief survey', 'long run', 'traditional network', 'many user', 'cloud application', 'network computing', 'information technology sector', 'creates hindrance', 'mainstream adoption', 'advance technology', 'buzz word', 'way open source', 'great shift', 'information technology']",
Scientific Cloud Computing: Early Definition and Experience,"Lizhe Wang, Gregor Von Laszewski",2008,2.2 Functional aspects of Cloud computing. 3,https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.564.3847&rep=rep1&type=pdf,"['scientific cloud computing', 'early definition', 'functional aspect']",
Reusability Framework for Cloud Computing,"Sukhpal Singh, Rishideep Singh",nan,"Cloud based development is a challenging task for several software engineering projects, especially for those which needs development with reusability. Present time of cloud computing is allowing new professional models for using the software development. The expected upcoming trend of computing is assumed to be this cloud computing because of speed of application deployment, shorter time to market, and lower cost of operation. Until Cloud Computing Reusability Model is considered a fundamental capability, the speed of developing services is very slow. This paper spreads cloud computing with component based development named Cloud Computing Reusability Model (CCR) and enable reusability in cloud computing. In this paper Cloud Computing Reusability Model has been proposed. The model has been validated by Cloudsim and experimental result shows that reusability based cloud computing approach is effective in minimizing cost and time to market.",https://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=EE06C2E7678B8D2B260CE0F52F22B60D?doi=10.1.1.412.2831&rep=rep1&type=pdf,"['cloud computing', 'reusability framework', 'cloud computing reusability model', 'software development', 'experimental result show', 'present time', 'challenging task', 'fundamental capability', 'enable reusability', 'several software engineering project', 'paper cloud computing reusability model', 'expected upcoming trend', 'application deployment', 'new professional model']",
